train/std,time/fps,rollout/success_rate,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss
0.049787066876888275,190,0.0,-22.3368906,2,50.0,500,10,,,,,,
0.049787066876888275,189,0.0,-21.619786899999998,5,50.0,1000,20,,,,,,
0.049787066876888275,186,0.0,-21.803774500000006,8,50.0,1500,30,,,,,,
0.049787066876888275,184,0.0,-21.2766571,10,50.0,2000,40,,,,,,
0.049787066876888275,183,0.0,-21.48122922,13,50.0,2500,50,,,,,,
0.049787066876888275,181,0.0,-21.19716676666667,16,50.0,3000,60,,,,,,
0.049787066876888275,180,0.0,-20.803463957142856,19,50.0,3500,70,,,,,,
0.049787066876888275,179,0.0,-20.539333974999998,22,50.0,4000,80,,,,,,
0.049787066876888275,180,0.0,-20.394924344444448,24,50.0,4500,90,,,,,,
0.049787066876888275,182,0.0,-20.30414808,27,50.0,5000,100,,,,,,
0.049787066876888275,181,0.0,-20.41593553,30,50.0,5500,110,,,,,,
0.049787066876888275,181,0.0,-20.46745726,33,50.0,6000,120,,,,,,
0.049787066876888275,182,0.0,-20.28354527,35,50.0,6500,130,,,,,,
0.049787066876888275,182,0.0,-20.55701355,38,50.0,7000,140,,,,,,
0.049787066876888275,181,0.0,-19.99742247,41,50.0,7500,150,,,,,,
0.049787066876888275,179,0.0,-20.20605831,44,50.0,8000,160,,,,,,
0.049787066876888275,178,0.0,-20.78785769,47,50.0,8500,170,,,,,,
0.049787066876888275,177,0.0,-20.7926412,50,50.0,9000,180,,,,,,
0.049787066876888275,176,0.0,-21.101735639999998,53,50.0,9500,190,,,,,,
0.049787066876888275,175,0.0,-21.3586601,56,50.0,10000,200,,,,,,
0.04993545264005661,165,0.0,-21.186631930000004,63,50.0,10500,210,0.9619036465883255,-0.9603974372148514,0.0001,-0.16353192552924156,496,0.3327493593096733
